title,url,content,publisher,source,date
Maersk sees no Suez Canal return until 'well into 2025' due to Red ...,https://www.reuters.com/markets/europe/maersk-saw-strong-demand-q3-driven-by-china-southeast-asia-exports-2024-10-31/,"Oct 30, 2024 ... ... shipments pushing freight rates higher and causing congestion in Asian and European ports. ... All quotes delayed a minimum of 15 minutes.",www.reuters.com,www.reuters.com,Unknown date
Two ferry companies for Channel Islands 'unworkable',https://www.bbc.com/news/articles/cd6v4966qleo,"Oct 30, 2024 ... Grant Miller, the chairman of UK-based travel agent Preston Holidays said the decision should have been made weeks ago. ""The delays are ...",www.bbc.com,www.bbc.com,Unknown date
How Asian pharma suppliers cash in on Ozempic copies | Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/how-asian-pharma-suppliers-cash-ozempic-copies-2024-11-01/,"Oct 30, 2024 ... The Incepta drugs are part of an Asia-based supply chain manufacturing and exporting cheaper copies of Ozempic across the world, Reuters has found.",www.reuters.com,www.reuters.com,Unknown date
Freight News | Supply Chain Dive,https://www.supplychaindive.com/topic/freight/,"Oct 29, 2024 ... Higher peak season surcharges are one risk for shippers to manage this year. By Supply Chain Dive staff. IMC Logistics American Pacific Transportation Image ...",www.supplychaindive.com,www.supplychaindive.com,Unknown date
Amazon warns of West Coast capacity constraints | Supply Chain Dive,https://www.supplychaindive.com/news/amazon-west-coast-inventory-placement-capacity/731127/,"Oct 27, 2024 ... The constraints are leading to lengthier processing times for seller inventory at inbound shipping locations and palletized freight. “We're ...",www.supplychaindive.com,www.supplychaindive.com,Unknown date
TRANS MOUNTAIN OIL PIPE LINE CO LTD | Reuters,https://www.reuters.com/company/trans-mountain-oil-pipe-line-co-ltd/,"Oct 20, 2024 ... First Canadian oil export cargo from expanded Trans Mountain pipeline ... Trans Mountain oil shippers raise concerns about risk of delay to full service.",www.reuters.com,www.reuters.com,Unknown date
Will A Q3 Surprise Reverse Intel Stock's 55% Decline?,https://www.forbes.com/sites/greatspeculations/2024/10/18/will-a-q3-surprise-reverse-intel-stocks-55-decline/,"Oct 17, 2024 ... On the server side, Intel has been facing pressure from AMD's EPYC chips which have been gaining market share amidst Intel's delays in ...",www.forbes.com,www.forbes.com,Unknown date
Boeing Will Lay Off About 10% Of Its Employees In Coming Months,https://www.forbes.com/sites/antoniopequenoiv/2024/10/11/boeing-will-cut-about-10-of-its-workforce-amid-strike-and-financial-struggles/,"Oct 10, 2024 ... Boeing also announced production and delivery changes, saying it will delay ... shipping goods, by 2027. The layoff news comes shortly ...",www.forbes.com,www.forbes.com,Unknown date
The ILA strike is over. What should shippers prioritize now? | Supply ...,https://www.supplychaindive.com/news/ila-port-strike-ends-what-shippers-should-know/729282/,"Oct 10, 2024 ... ... cargo backlogs and freight constraints, experts told Supply Chain Dive. ... Although the strike only lasted a few days, it still had a rippling ...",www.supplychaindive.com,www.supplychaindive.com,Unknown date
Supply Chain Logistics News,https://www.supplychaindive.com/topic/logistics/?page=3,"Oct 9, 2024 ... Adam Dentinger, a UPS delivery driver, unloads a shipment of Janssen COVID-19 ... Days of a port strike could mean weeks of manufacturing delays. Chemical ...",www.supplychaindive.com,www.supplychaindive.com,Unknown date
Attempt to allow locals to live in temporary housing in Guernsey,https://www.bbc.com/news/articles/c756exvk2keo,"Oct 8, 2024 ... Four grey-painted corrugated iron shipping container units. The ... Guernsey's top political committee responds to criticism over the delays ...",www.bbc.com,www.bbc.com,Unknown date
Hurricane Milton's supply chain impact: What to know,https://www.supplychaindive.com/news/hurricane-milton-supply-chain-impacts/729385/,"Oct 8, 2024 ... 10 update, FedEx said that “delays and disruptions are possible for inbound and outbound shipments in markets along the west coast of Florida.",www.supplychaindive.com,www.supplychaindive.com,Unknown date
